club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Asmaral Moskau,Sergey Zorya,20,Russia,Left Midfield,LM,,Torpedo Moscow,Russia,0.0,in,summer,Premier Liga,1992,False,
Asmaral Moskau,Vasyl Storchak,27,Ukraine,Centre-Forward,CF,,Metalurg Z.,Ukraine,0.0,in,summer,Premier Liga,1992,False,
Asmaral Moskau,Eduard Demin,18,Russia,Centre-Back,CB,,Asmaral-D Moscow,Russia,,in,summer,Premier Liga,1992,False,
Asmaral Moskau,Sergey Mamchur,20,Russia,Centre-Back,CB,,Dnipro,Ukraine,,in,summer,Premier Liga,1992,False,
Asmaral Moskau,Yuri Gavrilov,39,Russia,Attacking Midfield,AM,,Asmaral-D Moscow,Russia,,out,summer,Premier Liga,1992,False,
Asmaral Moskau,Sergey Kuznetsov,32,Russia,Centre-Back,CB,,Zenit S-Pb,Russia,0.0,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Sergey Semak,16,Russia,Central Midfield,CM,,Karelia,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Ansar Ayupov,20,Russia,Central Midfield,CM,,Karelia,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Sergey Grishin,19,Russia,Right Midfield,RM,,Torpedo II,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Aleksandr Tochilin,18,Russia,Right-Back,RB,,Asmaral-D Moscow,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Gennadi Strikalov,23,Russia,Goalkeeper,GK,,Asmaral Kislovod,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Vitali Safronov,19,Russia,Attacking Midfield,AM,,Asmaral-D Moscow,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Sergey Nikitin,29,Russia,Left-Back,LB,,Shinnik,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Maksim Putilin,25,Russia,Centre-Back,CB,,Torpedo Vlad.,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Konstantin Kamnev,20,Ukraine,Right Midfield,RM,,Terek Grozny,Russia,,in,winter,Premier Liga,1992,False,
Asmaral Moskau,Oleg Volotek,25,Ukraine,midfield,midfield,,Dynamo Kyiv,Ukraine,,in,winter,Premier Liga,1992,False,
