club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Cercle Brugge ,Ilie Stan,27,Romania,Left Midfield,LM,,Steaua Bukarest,Romania,,in,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Ylli Shehu,29,Albania,attack,attack,,HNK Sibenik,Croatia,,in,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Bernard Beuken,24,Belgium,defence,defence,,Club Brugge,Belgium,,in,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Fabrice Staelens,18,Belgium,midfield,midfield,,Unknown,,,in,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Joel Bwalya,22,Zambia,midfield,midfield,,KRC Harelbeke,Belgium,,in,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Dorinel Munteanu,27,Romania,Central Midfield,CM,,1. FC Köln,Germany,1100000.0,out,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Nico Vaesen,25,Belgium,Goalkeeper,GK,,Eendracht Aalst,Belgium,0.0,out,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Serge Van De Walle,23,Belgium,attack,attack,,KRC Harelbeke,Belgium,,out,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Nico De Coninck,21,Belgium,Defensive Midfield,DM,,Exc. Mouscron,Belgium,,out,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Marc De Buyser,31,Belgium,Centre-Back,CB,,Exc. Mouscron,Belgium,,out,summer,Jupiler Pro League,1995,False,
Cercle Brugge ,Ovidiu Hanganu,24,Romania,Centre-Forward,CF,,FC National,Romania,,out,winter,Jupiler Pro League,1995,False,
Cercle Brugge ,Anthony Annicaert,22,Belgium,midfield,midfield,,KRC Genk,Belgium,0.0,out,winter,Jupiler Pro League,1995,True,free loan
Club Brugge KV,Hervé Nzelo-Lembi,19,DR Congo,Centre-Back,CB,,KSC Lokeren,Belgium,,in,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Eric Addo,16,Ghana,Centre-Back,CB,,Noble Arrics,Ghana,,in,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Mario Stanic,23,Croatia,Right Winger,RW,,Benfica,Portugal,,in,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Robert Spehar,25,Croatia,Centre-Forward,CF,,NK Osijek,Croatia,,in,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Gunter Verjans,21,Belgium,Defensive Midfield,DM,,Sint-Truiden,Belgium,,in,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Rudi Cossey,33,Belgium,defence,defence,,KSC Lokeren,Belgium,,out,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Gert Peelman,19,Belgium,attack,attack,,KMSK Deinze,Belgium,,out,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Robin Wijngaarde,25,Netherlands,Centre-Back,CB,,Willem II,Netherlands,,out,summer,Jupiler Pro League,1995,False,
Club Brugge KV,Bernard Beuken,24,Belgium,defence,defence,,Cercle Brugge,Belgium,,out,summer,Jupiler Pro League,1995,False,
Club Brugge KV,René Eijkelkamp,31,Netherlands,Centre-Forward,CF,,PSV Eindhoven,Netherlands,,out,summer,Jupiler Pro League,1995,False,
Germinal Ekeren,Eric Deflandre,21,Belgium,Right-Back,RB,,Royal Tilleur FC,Belgium,0.0,in,summer,Jupiler Pro League,1995,False,
Germinal Ekeren,Marc Schaessens,26,Belgium,midfield,midfield,,RFC Seraing,Belgium,,in,summer,Jupiler Pro League,1995,False,
Germinal Ekeren,Bernard Wégria,32,Belgium,defence,defence,,Royal Tilleur FC,Belgium,,in,summer,Jupiler Pro League,1995,False,
Germinal Ekeren,Roger Lukaku,28,DR Congo,Centre-Forward,CF,,RFC Seraing,Belgium,,in,summer,Jupiler Pro League,1995,False,
Germinal Ekeren,Alain De Nil,28,Belgium,Right Midfield,RM,,RFC Seraing,Belgium,,in,summer,Jupiler Pro League,1995,False,
Germinal Ekeren,Marc Van Der Linden,31,Belgium,Centre-Forward,CF,,Hapoel Herzliya,Israel,,in,summer,Jupiler Pro League,1995,False,
Germinal Ekeren,Romulus Buia,25,Romania,Attacking Midfield,AM,,FC U Craiova,Romania,,in,summer,Jupiler Pro League,1995,False,
