club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Arsenal FC,Patrick Vieira,20.0,France,Defensive Midfield,DM,,Milan,Italy,5350000.0,in,summer,Premier League,1996,False,
Arsenal FC,John Lukic,35.0,England,Goalkeeper,GK,,Leeds,England,0.0,in,summer,Premier League,1996,False,
Arsenal FC,Rémi Garde,30.0,France,Defensive Midfield,DM,,R. Strasbourg,France,,in,summer,Premier League,1996,False,
Arsenal FC,Paul Merson,28.0,England,Right Midfield,RM,,Middlesbrough,England,6600000.0,out,summer,Premier League,1996,False,
Arsenal FC,Paul Dickov,23.0,Scotland,Centre-Forward,CF,,Man City,England,1500000.0,out,summer,Premier League,1996,False,
Arsenal FC,Eddie McGoldrick,31.0,Ireland,Central Midfield,CM,,Man City,England,450000.0,out,summer,Premier League,1996,False,
Arsenal FC,John Jensen,31.0,Denmark,Central Midfield,CM,,Bröndby IF,Denmark,0.0,out,summer,Premier League,1996,False,
Arsenal FC,Adrian Clarke,21.0,England,midfield,midfield,,Rotherham,England,0.0,out,summer,Premier League,1996,True,free loan
Arsenal FC,Roy O'Brien,21.0,Ireland,midfield,midfield,,Wigan,England,,out,summer,Premier League,1996,False,
Arsenal FC,Chris Kiwomya,26.0,England,Centre-Forward,CF,,AC Le Havre,France,0.0,out,summer,Premier League,1996,True,free loan
Arsenal FC,Mark Flatts,23.0,England,midfield,midfield,,Retired,,,out,summer,Premier League,1996,False,
Arsenal FC,Nicolas Anelka,17.0,France,Centre-Forward,CF,,Paris SG,France,760000.0,in,winter,Premier League,1996,False,
Arsenal FC,John Hartson,21.0,Wales,Centre-Forward,CF,,West Ham,England,5000000.0,out,winter,Premier League,1996,False,
Arsenal FC,Steve Morrow,26.0,Northern Ireland,Right-Back,RB,,QPR,England,750000.0,out,winter,Premier League,1996,False,
Arsenal FC,David Hillier,26.0,England,Central Midfield,CM,,Portsmouth,England,320000.0,out,winter,Premier League,1996,False,
Arsenal FC,Andy Linighan,34.0,England,Centre-Back,CB,,Crystal Palace,England,125000.0,out,winter,Premier League,1996,False,
Arsenal FC,Gavin McGowan,21.0,England,Right-Back,RB,,Luton,England,0.0,out,winter,Premier League,1996,True,free loan
Arsenal FC,Adrian Clarke,22.0,England,midfield,midfield,,Southend United,England,0.0,out,winter,Premier League,1996,True,free loan
Arsenal FC,Glenn Helder,28.0,Netherlands,Left Winger,LW,,Benfica,Portugal,0.0,out,winter,Premier League,1996,True,free loan
Aston Villa,Sasa Curcic,24.0,Serbia,Defensive Midfield,DM,,Bolton,England,6000000.0,in,summer,Premier League,1996,False,
Aston Villa,Julian Joachim,21.0,England,Centre-Forward,CF,,Leicester,England,2100000.0,in,summer,Premier League,1996,False,
Aston Villa,Nélson,24.0,Portugal,Right-Back,RB,,Sporting CP,Portugal,,in,summer,Premier League,1996,False,
Aston Villa,Paul McGrath,36.0,Ireland,Centre-Back,CB,,Derby,England,125000.0,out,summer,Premier League,1996,False,
Aston Villa,Franz Carr,30.0,England,Right Winger,RW,,Reggiana,Italy,0.0,out,summer,Premier League,1996,False,
Aston Villa,Neil Davis,23.0,England,attack,attack,,Wycombe,England,0.0,out,summer,Premier League,1996,True,free loan
Aston Villa,Paul Browne,21.0,Scotland,Centre-Back,CB,,Raith Rovers,Scotland,,out,summer,Premier League,1996,False,
Aston Villa,Tommy Johnson,26.0,England,Centre-Forward,CF,,Celtic,Scotland,3450000.0,out,winter,Premier League,1996,False,
Aston Villa,Carl Tiler,27.0,England,Centre-Back,CB,,Sheff Utd,England,812000.0,out,winter,Premier League,1996,False,
Aston Villa,Paul McGrath,36.0,Ireland,Centre-Back,CB,,Derby,England,125000.0,out,winter,Premier League,1996,False,
Aston Villa,Phil King,29.0,England,Left-Back,LB,,Swindon Town,England,0.0,out,winter,Premier League,1996,False,
Aston Villa,Franz Carr,30.0,England,Right Winger,RW,,Reggiana,Italy,0.0,out,winter,Premier League,1996,False,
Aston Villa,Neil Davis,23.0,England,attack,attack,,Wycombe,England,0.0,out,winter,Premier League,1996,True,free loan
Blackburn Rovers,Georgios Donis,26.0,Greece,Right Winger,RW,,Panathinaikos,Greece,0.0,in,summer,Premier League,1996,False,
Blackburn Rovers,Alan Shearer,25.0,England,Centre-Forward,CF,,Newcastle,England,21000000.0,out,summer,Premier League,1996,False,
Blackburn Rovers,Mike Newell,31.0,England,Centre-Forward,CF,,Birmingham,England,921000.0,out,summer,Premier League,1996,False,
Blackburn Rovers,Bobby Mimms,32.0,England,Goalkeeper,GK,,Crystal Palace,England,0.0,out,summer,Premier League,1996,False,
Blackburn Rovers,Per Pedersen,27.0,Denmark,Centre-Forward,CF,,Odense BK,Denmark,,in,winter,Premier League,1996,False,
Blackburn Rovers,Marlon Broomes,19.0,England,Centre-Back,CB,,Swindon Town,England,0.0,out,winter,Premier League,1996,True,free loan
Blackburn Rovers,Niklas Gudmundsson,25.0,Sweden,Left Winger,LW,,Ipswich,England,0.0,out,winter,Premier League,1996,True,free loan
Chelsea FC,Roberto Di Matteo,26.0,Italy,Central Midfield,CM,,Lazio,Italy,5500000.0,in,summer,Premier League,1996,False,
Chelsea FC,Frank Leboeuf,28.0,France,Centre-Back,CB,,R. Strasbourg,France,3450000.0,in,summer,Premier League,1996,False,
Chelsea FC,Gianluca Vialli,31.0,Italy,Centre-Forward,CF,,Juventus,Italy,0.0,in,summer,Premier League,1996,False,
Chelsea FC,Frode Grodas,31.0,Norway,Goalkeeper,GK,,Lillestrøm SK,Norway,,in,summer,Premier League,1996,False,
Chelsea FC,Joe Sheerin,18.0,England,attack,attack,,Unknown,,,in,summer,Premier League,1996,False,
Chelsea FC,Chris Zoricich,27.0,New Zealand,defence,defence,,Welling United,England,,in,summer,Premier League,1996,False,
Chelsea FC,Roger Joseph,30.0,England,defence,defence,,Wimbledon FC,England,,in,summer,Premier League,1996,False,
Chelsea FC,Paul Furlong,27.0,England,Centre-Forward,CF,,Birmingham,England,2250000.0,out,summer,Premier League,1996,False,
Chelsea FC,Muzzy Izzet,21.0,Turkey,Attacking Midfield,AM,,Leicester,England,1200000.0,out,summer,Premier League,1996,False,
Chelsea FC,Anthony Barness,23.0,England,Right-Back,RB,,Charlton,England,200000.0,out,summer,Premier League,1996,False,
Chelsea FC,Erland Johnsen,30.0,Norway,Centre-Back,CB,,Rosenborg,Norway,0.0,out,summer,Premier League,1996,False,
Chelsea FC,Nigel Spackman,35.0,England,Central Midfield,CM,,Sheff Utd,England,0.0,out,summer,Premier League,1996,False,
Chelsea FC,Andy Dow,23.0,Scotland,Left-Back,LB,,Hibernian FC,Scotland,,out,summer,Premier League,1996,False,
Chelsea FC,Jakob Kjeldbjerg,27.0,Denmark,Centre-Back,CB,,Retired,,,out,summer,Premier League,1996,False,
Chelsea FC,Glenn Hoddle,38.0,England,Attacking Midfield,AM,,Retired,,,out,summer,Premier League,1996,False,
Chelsea FC,Gianfranco Zola,30.0,Italy,Second Striker,SS,,AC Parma,Italy,6200000.0,in,winter,Premier League,1996,False,
Chelsea FC,Danny Granville,22.0,England,Left-Back,LB,,Cambridge Utd.,England,415000.0,in,winter,Premier League,1996,False,
Chelsea FC,Craig Forrest,29.0,Canada,Goalkeeper,GK,,Ipswich,England,0.0,in,winter,Premier League,1996,True,free loan
Chelsea FC,Paul Parker,32.0,England,Right-Back,RB,,Fulham,England,,in,winter,Premier League,1996,False,
Chelsea FC,John Spencer,26.0,Scotland,Centre-Forward,CF,,QPR,England,0.0,out,winter,Premier League,1996,False,
Chelsea FC,David Rocastle,29.0,England,Attacking Midfield,AM,,Norwich,England,0.0,out,winter,Premier League,1996,True,free loan
Chelsea FC,Roger Joseph,31.0,England,defence,defence,,Leyton Orient,England,,out,winter,Premier League,1996,False,
Chelsea FC,Mark Stein,30.0,England,Centre-Forward,CF,,Stoke City,England,0.0,out,winter,Premier League,1996,True,free loan
Chelsea FC,Terry Phelan,29.0,Ireland,Left-Back,LB,,Everton,England,,out,winter,Premier League,1996,False,
Coventry City,Régis Genaux,22.0,Belgium,Right-Back,RB,,Standard Liège,Belgium,1050000.0,in,summer,Premier League,1996,False,
Coventry City,Michael O'Neill,26.0,Northern Ireland,Attacking Midfield,AM,,Hibernian FC,Scotland,750000.0,in,summer,Premier League,1996,False,
Coventry City,Gary McAllister,31.0,Scotland,Central Midfield,CM,,Leeds,England,250000.0,in,summer,Premier League,1996,False,
Coventry City,Simon Haworth,20.0,Wales,Centre-Forward,CF,,Cardiff,Wales,,in,summer,Premier League,1996,False,
Coventry City,Eoin Jess,25.0,Scotland,Second Striker,SS,,Aberdeen FC,Scotland,,in,summer,Premier League,1996,False,
Coventry City,Paul Cook,29.0,England,Central Midfield,CM,,Tranmere Rovers,England,500000.0,out,summer,Premier League,1996,False,
Coventry City,Ally Pickering,29.0,England,defence,defence,,Stoke City,England,350000.0,out,summer,Premier League,1996,False,
Coventry City,Nii Lamptey,21.0,Ghana,Attacking Midfield,AM,,AC Venezia 1907,Italy,0.0,out,summer,Premier League,1996,False,
Coventry City,David Rennie,31.0,Scotland,Defensive Midfield,DM,,Northampton,England,0.0,out,summer,Premier League,1996,False,
Coventry City,Steve Morgan,27.0,England,Left-Back,LB,,Wigan,England,0.0,out,summer,Premier League,1996,False,
Coventry City,Eoin Jess,25.0,Scotland,Second Striker,SS,,Aberdeen FC,Scotland,,out,summer,Premier League,1996,False,
Coventry City,Brian Borrows,35.0,England,Right-Back,RB,,Swindon Town,England,0.0,out,summer,Premier League,1996,True,free loan
Coventry City,Lee Hurst,25.0,England,midfield,midfield,,Career break,,,out,summer,Premier League,1996,False,
Coventry City,Oleksandr Yevtushok,26.0,Ukraine,Centre-Back,CB,,Dnipro,Ukraine,1200000.0,in,winter,Premier League,1996,False,
Coventry City,Darren Huckerby,20.0,England,Right Winger,RW,,Newcastle,England,1000000.0,in,winter,Premier League,1996,False,
Coventry City,Régis Genaux,23.0,Belgium,Right-Back,RB,,Udinese,Italy,1150000.0,out,winter,Premier League,1996,False,
Coventry City,Iyseden Christie,20.0,England,Centre-Forward,CF,,Mansfield Town,England,0.0,out,winter,Premier League,1996,False,
