club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1.FC Kaiserslautern,Hany Ramzy,29,Egypt,Centre-Back,CB,,Werder Bremen,Germany,1150000.0,in,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Samir Kamouna,26,Egypt,Sweeper,SW,,El Ahly,Egypt,600000.0,in,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Uwe Gospodarek,24,Germany,Goalkeeper,GK,,VfL Bochum,Germany,175000.0,in,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Uwe Rösler,29,Germany,Centre-Forward,CF,,Man City,England,0.0,in,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Pavel Kuka,29,Czech Republic,Centre-Forward,CF,,1.FC Nuremberg,Germany,1750000.0,out,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Miroslav Kadlec,34,Czech Republic,Sweeper,SW,,Drnovice,Czech Republic,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Thomas Franck,27,Germany,Defensive Midfield,DM,,Waldh. Mannheim,Germany,,out,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Andreas Brehme,37,Germany,Left-Back,LB,,Retired,,,out,summer,1 Bundesliga,1998,False,
1.FC Kaiserslautern,Gerry Ehrmann,39,Germany,Goalkeeper,GK,,Retired,,,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Pavel Kuka,29,Czech Republic,Centre-Forward,CF,,1.FC K'lautern,Germany,1750000.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Andriy Polunin,27,Ukraine,Central Midfield,CM,,Karpaty,Ukraine,500000.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Stephan Täuber,31,Germany,Centre-Back,CB,,Unterhaching,Germany,425000.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Darius Kampa,21,Germany,Goalkeeper,GK,,FC Augsburg,Germany,300000.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Jochen Weigl,27,Germany,Right Midfield,RM,,Greuther Fürth,Germany,250000.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Heiko Gerber,25,Germany,Left-Back,LB,,Arm. Bielefeld,Germany,150000.0,in,summer,1 Bundesliga,1998,True,loan with fee
1.FC Nuremberg,Christian Horcher,20,Germany,Goalkeeper,GK,,Jahn Forchheim,Germany,0.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Sven Günther,24,Germany,Defensive Midfield,DM,,FSV Zwickau,Germany,0.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Markus Lösch,26,Germany,Defensive Midfield,DM,,Stuttg. Kickers,Germany,0.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Niklas Skoog,24,Sweden,Centre-Forward,CF,,MSV Duisburg,Germany,0.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Martin Molz,26,Germany,Centre-Back,CB,,Idar-Oberstein,Germany,0.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Tobias Zellner,20,Germany,Central Midfield,CM,,1.FC Miltach,Germany,0.0,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Matthias Maucksch,29,Germany,Sweeper,SW,,VfB Leipzig,Germany,,in,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Daniel Smejkal,27,Czech Republic,Attacking Midfield,AM,,KFC Uerdingen,Germany,125000.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Christian Möckel,25,Germany,Second Striker,SS,,Greuther Fürth,Germany,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Uwe Schneider,26,Germany,Centre-Back,CB,,E. Frankfurt,Germany,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Peter Knäbel,31,Germany,Attacking Midfield,AM,,FC Winterthur,Switzerland,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Peter Jenkner,23,Germany,midfield,midfield,,1.SC Feucht,Germany,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Christoph Müller,23,Germany,Goalkeeper,GK,,RW Oberhausen,Germany,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Cheriffe Maman-Touré,20,Togo,midfield,midfield,,Marseille,France,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Ivica Simunec,30,Croatia,defence,defence,,Union Berlin,Germany,0.0,out,summer,1 Bundesliga,1998,False,
1.FC Nuremberg,Roman Hogen,27,Czech Republic,Centre-Forward,CF,,Chmel Blsany,Czech Republic,0.0,out,summer,1 Bundesliga,1998,True,end of loan
1.FC Nuremberg,Andreas Köpke,36,Germany,Goalkeeper,GK,,Marseille,France,0.0,in,winter,1 Bundesliga,1998,False,
1.FC Nuremberg,Zivojin Juskic,29,Serbia,Defensive Midfield,DM,,FK Obilic,Serbia,0.0,in,winter,1 Bundesliga,1998,False,
1.FC Nuremberg,Knut Reinhardt,30,Germany,Left Midfield,LM,,Bor. Dortmund,Germany,0.0,in,winter,1 Bundesliga,1998,False,
1.FC Nuremberg,René van Eck,32,Netherlands,Centre-Back,CB,,FC Luzern,Switzerland,0.0,in,winter,1 Bundesliga,1998,False,
1.FC Nuremberg,Marek Nikl,22,Czech Republic,Centre-Back,CB,,Bohemians Praha,Czech Republic,,in,winter,1 Bundesliga,1998,False,
1.FC Nuremberg,Thomas Richter,28,Germany,defence,defence,,1860 Munich,Germany,0.0,out,winter,1 Bundesliga,1998,False,
Bayer 04 Leverkusen,Zé Roberto,23,Brazil,Left Midfield,LM,,Real Madrid,Spain,7000000.0,in,summer,1 Bundesliga,1998,False,
Bayer 04 Leverkusen,Adam Matysek,29,Poland,Goalkeeper,GK,,FC Gütersloh,Germany,1000000.0,in,summer,1 Bundesliga,1998,False,
Bayer 04 Leverkusen,Zoran Mamic,26,Croatia,Centre-Back,CB,,VfL Bochum,Germany,800000.0,in,summer,1 Bundesliga,1998,False,
