club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Fiorentina,Ezequiel González,20,Argentina,Attacking Midfield,AM,,CA Rosario,Argentina,5340000.0,in,summer,Serie A,2001,False,
AC Fiorentina,Alexander Manninger,24,Austria,Goalkeeper,GK,,Arsenal,England,0.0,in,summer,Serie A,2001,True,free loan
AC Fiorentina,Mario Cassano,17,Italy,Goalkeeper,GK,,Voghera,Italy,,in,summer,Serie A,2001,False,
AC Fiorentina,Mirko Benin,23,Italy,Attacking Midfield,AM,,Ternana,Italy,,in,summer,Serie A,2001,False,
AC Fiorentina,Marco Franceschetti,34,Italy,midfield,midfield,,Hellas Verona,Italy,,in,summer,Serie A,2001,False,
AC Fiorentina,Roberto Baronio,23,Italy,Defensive Midfield,DM,,Lazio,Italy,0.0,in,summer,Serie A,2001,True,free loan
AC Fiorentina,Maurizio Ganz,33,Italy,Centre-Forward,CF,,Without Club,,,in,summer,Serie A,2001,False,
AC Fiorentina,Rui Costa,29,Portugal,Attacking Midfield,AM,,Milan,Italy,41320000.0,out,summer,Serie A,2001,False,
AC Fiorentina,Francesco Toldo,29,Italy,Goalkeeper,GK,,Inter,Italy,26500000.0,out,summer,Serie A,2001,False,
AC Fiorentina,Tomas Repka,27,Czech Republic,Centre-Back,CB,,West Ham,England,8250000.0,out,summer,Serie A,2001,False,
AC Fiorentina,Leandro Amaral,23,Brazil,Centre-Forward,CF,,Grêmio,Brazil,0.0,out,summer,Serie A,2001,False,
AC Fiorentina,Saliou Lassissi,22,Cote d'Ivoire,Centre-Back,CB,,AS Roma,Italy,,out,summer,Serie A,2001,False,
AC Fiorentina,Mattia Passarini,20,Italy,Goalkeeper,GK,,Sassuolo,Italy,,out,summer,Serie A,2001,False,
AC Fiorentina,Mauro Bressan,30,Italy,Defensive Midfield,DM,,AC Venezia 1907,Italy,,out,summer,Serie A,2001,False,
AC Fiorentina,Giacomo Bonora,21,Italy,Left-Back,LB,,Unknown,,,out,summer,Serie A,2001,False,
AC Fiorentina,Adriano,19,Brazil,Centre-Forward,CF,,Inter,Italy,0.0,in,winter,Serie A,2001,True,free loan
AC Fiorentina,Anselmo Robbiati,32,Italy,Left Winger,LW,,Inter,Italy,0.0,in,winter,Serie A,2001,True,free loan
AC Fiorentina,Maurizio Ganz,33,Italy,Centre-Forward,CF,,Without Club,,,in,winter,Serie A,2001,False,
AC Fiorentina,Georgios Vakouftsis,21,Greece,Centre-Forward,CF,,Iraklis,Greece,0.0,out,winter,Serie A,2001,True,free loan
AC Parma,Hidetoshi Nakata,24,Japan,Attacking Midfield,AM,,AS Roma,Italy,28400000.0,in,summer,Serie A,2001,False,
AC Parma,Evanilson,25,Brazil,Right-Back,RB,,Bor. Dortmund,Germany,15000000.0,in,summer,Serie A,2001,False,
