club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AA La Louviere,Daniel Camus,31,Belgium,Defensive Midfield,DM,,Waldh. Mannheim,Germany,0.0,in,summer,Jupiler Pro League,2003,False,
AA La Louviere,Gunter Van Handenhoven,24,Belgium,Left Winger,LW,,KAA Gent,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
AA La Louviere,Filip Susnjara,27,Croatia,Goalkeeper,GK,,Standard Liège,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
AA La Louviere,George Blay,22,Ghana,Right-Back,RB,,KV Mechelen,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
AA La Louviere,Maamar Mamouni,27,Algeria,Defensive Midfield,DM,,US Créteil-L,France,0.0,in,summer,Jupiler Pro League,2003,False,
AA La Louviere,Mickaël Murcy,23,France,Centre-Forward,CF,,US Créteil-L,France,0.0,in,summer,Jupiler Pro League,2003,False,
AA La Louviere,Sammy Van Den Bossche,26,Belgium,Right Midfield,RM,,KVC Westerlo,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
AA La Louviere,Oguchi Onyewu,21,United States,Centre-Back,CB,,FC Metz,France,0.0,in,summer,Jupiler Pro League,2003,True,free loan
AA La Louviere,Serge Djamba-Shango,21,Belgium,Left Winger,LW,,LOSC Lille,France,0.0,in,summer,Jupiler Pro League,2003,True,free loan
AA La Louviere,Alan Haydock,27,Belgium,Defensive Midfield,DM,,FC Brüssel,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Alexandre Bryssinck,22,Belgium,Right-Back,RB,,MVV Maastricht,Netherlands,0.0,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Tom Meyers,22,Belgium,Goalkeeper,GK,,Verbr. Meldert,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Jan Van Steenberghe,30,Belgium,Goalkeeper,GK,,RSC Anderlecht,Belgium,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Emmanuel Kenmogne,22,Cameroon,Centre-Forward,CF,,RAEC Mons,Belgium,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Didier Ernst,31,Belgium,Right-Back,RB,,FC Brüssel,Belgium,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Yves Buelinckx,31,Belgium,Centre-Forward,CF,,AFC Tubize,Belgium,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Eric Scalia,30,France,Right Winger,RW,,FC Martigues,France,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Jean-François Lecomte,34,Belgium,Goalkeeper,GK,,RCS Verviers,Belgium,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Dimitrios Seferlis,20,Belgium,midfield,midfield,,HeppigLambFleur,Belgium,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Abdoulaye Camara,23,Mali,defence,defence,,Grenoble,France,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Domenico Olivieri,35,Belgium,defence,defence,,Retired,,,out,summer,Jupiler Pro League,2003,False,
AA La Louviere,Ode Thompson,22,Nigeria,Centre-Forward,CF,,RSC Anderlecht,Belgium,0.0,out,summer,Jupiler Pro League,2003,True,end of loan
AA La Louviere,Stefan Teelen,24,Belgium,Left-Back,LB,,KRC Genk,Belgium,0.0,out,summer,Jupiler Pro League,2003,True,end of loan
AA La Louviere,Sotiris Lyberopoulos,26,Greece,Goalkeeper,GK,,AEK Athens,Greece,0.0,out,summer,Jupiler Pro League,2003,True,end of loan
AA La Louviere,Matthieu Assou-Ekotto,25,France,Defensive Midfield,DM,,Grenoble,France,,in,winter,Jupiler Pro League,2003,False,
AA La Louviere,Mehdi Guerrouad,22,Algeria,Centre-Back,CB,,Viborg FF,Denmark,0.0,out,winter,Jupiler Pro League,2003,False,
Cercle Brugge ,Nordin Jbari,28,Belgium,Centre-Forward,CF,,Troyes,France,0.0,in,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Peter Mollez,19,Belgium,Goalkeeper,GK,,Club Bruges U19,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Andrew Vlahos,27,Australia,Left Midfield,LM,,Football Kingz,New Zealand,,in,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Milenko Milosevic,26,Bosnia-Herzegovina,Defensive Midfield,DM,,Sutjeska Niksic,Montenegro,,in,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Djordje Svetlicic,29,Serbia,Centre-Back,CB,,Germ. Beerschot,Belgium,,in,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Harold Meyssen,31,Belgium,Central Midfield,CM,,Standard Liège,Belgium,,in,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Glenn Carton,19,Belgium,defence,defence,,Unknown,,,in,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Sam de Meester,21,Belgium,midfield,midfield,,KSK Maldegem,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Gino Moyaert,21,Belgium,Centre-Back,CB,,Unknown,,,out,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Stijn Willems,22,Belgium,midfield,midfield,,Denderhoutem,Belgium,,out,summer,Jupiler Pro League,2003,False,
Cercle Brugge ,Roman Vonasek,34,Czech Republic,midfield,midfield,,KSC Lokeren,Belgium,0.0,out,summer,Jupiler Pro League,2003,True,end of loan
Cercle Brugge ,Ole Budtz,24,Denmark,Centre-Back,CB,,K. Offenbach,Germany,0.0,out,winter,Jupiler Pro League,2003,False,
Cercle Brugge ,Mohammed Berthé,31,France,Centre-Forward,CF,,Zulte Waregem,Belgium,0.0,out,winter,Jupiler Pro League,2003,True,free loan
Cercle Brugge ,Giovanni Dekeyser,27,Belgium,Right Winger,RW,,KMSK Deinze,Belgium,,out,winter,Jupiler Pro League,2003,False,
Cercle Brugge ,Johnny Nierynck,30,Belgium,defence,defence,,Retired,,,out,winter,Jupiler Pro League,2003,False,
Club Brugge KV,David Rozehnal,22,Czech Republic,Centre-Back,CB,,Sigma Olomouc,Czech Republic,500000.0,in,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Ivan Gvozdenović,24,Serbia,Centre-Back,CB,,Red Star,Serbia,0.0,in,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Tomislav Butina,29,Croatia,Goalkeeper,GK,,Dinamo Zagreb,Croatia,,in,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Ebou Sillah,23,The Gambia,Left Winger,LW,,Rubin Kazan,Russia,0.0,out,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Tjörven De Brul,30,Belgium,Centre-Back,CB,,KAA Gent,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Bratislav Ristic,23,Serbia,Right Winger,RW,,Metalurg D.,Ukraine,0.0,out,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Koen Schockaert,25,Belgium,Centre-Forward,CF,,Germ. Beerschot,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Kurt Delaere,20,Belgium,Right Midfield,RM,,KMSK Deinze,Belgium,,out,summer,Jupiler Pro League,2003,False,
Club Brugge KV,José Duarte,22,Brazil,attack,attack,,H. Beer Sheva,Israel,,out,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Aminu Sani,23,Nigeria,Central Midfield,CM,,H. Beer Sheva,Israel,,out,summer,Jupiler Pro League,2003,False,
Club Brugge KV,Jonathan Blondel,19,Belgium,Defensive Midfield,DM,,Spurs,England,1200000.0,in,winter,Jupiler Pro League,2003,False,
Club Brugge KV,Victor Simões,22,Brazil,Centre-Forward,CF,,Germ. Beerschot,Belgium,800000.0,in,winter,Jupiler Pro League,2003,False,
Club Brugge KV,Bosko Balaban,25,Croatia,Centre-Forward,CF,,Aston Villa,England,0.0,in,winter,Jupiler Pro League,2003,False,
Club Brugge KV,Josip Simic,26,Croatia,Centre-Forward,CF,,Ulsan Hyundai,"Korea, South",0.0,out,winter,Jupiler Pro League,2003,False,
Club Brugge KV,Karel Geraerts,21,Belgium,Central Midfield,CM,,KSC Lokeren,Belgium,0.0,out,winter,Jupiler Pro League,2003,True,free loan
Club Brugge KV,Sandy Martens,31,Belgium,Centre-Forward,CF,,KAA Gent,Belgium,0.0,out,winter,Jupiler Pro League,2003,False,
Excelsior Mouscron,Christophe Martin,28,Belgium,Goalkeeper,GK,,Willem II,Netherlands,0.0,in,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Samir Beloufa,23,Algeria,Centre-Back,CB,,SC Bastia,France,0.0,in,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Pieter Maes,26,Belgium,Central Midfield,CM,,Zulte Waregem,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Luigi Pieroni,22,Belgium,Centre-Forward,CF,,RFC Lüttich,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Stephen Laybutt,25,Australia,Left-Back,LB,,Brisbane Strikers FC,Australia,,in,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Marco Casto,31,Belgium,Left-Back,LB,,RAEC Mons,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Lukasz Kubik,25,Poland,Central Midfield,CM,,Cracovia,Poland,0.0,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Bevan Fransman,19,South Africa,Centre-Back,CB,,Kaizer Chiefs,South Africa,0.0,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Paul Alo'o Efoulou,19,Cameroon,Centre-Forward,CF,,RC Paris,France,0.0,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Claude Bakadal,27,Ghana,Centre-Forward,CF,,Diyarbakirspor,Turkey,0.0,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,David Crv,26,Belgium,Central Midfield,CM,,KV Oostende,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Asanda Sishuba,23,South Africa,Left Winger,LW,,Royal Antwerp,Belgium,,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Kurt Vandoorne,27,Belgium,Goalkeeper,GK,,KV Kortrijk,Belgium,,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Cleiton,24,Brazil,midfield,midfield,,Denderhoutem,Belgium,,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Zoran Ban,30,Croatia,Centre-Forward,CF,,RAEC Mons,Belgium,,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Pascal Renier,31,Belgium,Left-Back,LB,,Without Club,,,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Gordan Vidovic,35,Belgium,Centre-Back,CB,,Retired,,,out,summer,Jupiler Pro League,2003,False,
Excelsior Mouscron,Grégory Lorenzi,20,France,Centre-Back,CB,,FC Nantes,France,0.0,in,winter,Jupiler Pro League,2003,False,
Excelsior Mouscron,Pieter Maes,27,Belgium,Central Midfield,CM,,Zulte Waregem,Belgium,0.0,out,winter,Jupiler Pro League,2003,False,
Excelsior Mouscron,Mathieu Dejonckheere,18,Belgium,Defensive Midfield,DM,,KMSK Deinze,Belgium,0.0,out,winter,Jupiler Pro League,2003,False,
Excelsior Mouscron,Dennis Duinslaeger,21,Belgium,Goalkeeper,GK,,KAA Gent,Belgium,0.0,out,winter,Jupiler Pro League,2003,True,free loan
Germinal Beerschot Antwerpen,Bruno Casimir,22,Indonesia,Defensive Midfield,DM,,Sable FC de Batie,Cameroon,0.0,in,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Kurt Van Dooren,24,Belgium,Centre-Back,CB,,Berchem Sport,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Wim De Decker,21,Belgium,Defensive Midfield,DM,,KAA Gent,Belgium,0.0,in,summer,Jupiler Pro League,2003,True,free loan
Germinal Beerschot Antwerpen,Carl Hoefkens,24,Belgium,Right-Back,RB,,KVC Westerlo,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Koen Schockaert,25,Belgium,Centre-Forward,CF,,Club Brugge,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Victor Simões,22,Brazil,Centre-Forward,CF,,Flamengo,Brazil,,in,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Felipe Conceição,23,Brazil,Centre-Forward,CF,,Tombense,Brazil,,in,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Paul Kpaka,21,Sierra Leone,Centre-Forward,CF,,KRC Genk,Belgium,1500000.0,out,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Aaron Mokoena,22,South Africa,Centre-Back,CB,,KRC Genk,Belgium,400000.0,out,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Petter Rudi,29,Norway,Central Midfield,CM,,Austria Vienna,Austria,0.0,out,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Zanzan Atte-Oudeyi,22,Togo,Left-Back,LB,,KSC Lokeren,Belgium,,out,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Djordje Svetlicic,29,Serbia,Centre-Back,CB,,Cercle Brugge,Belgium,,out,summer,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Anthony Obodai,20,Ghana,Defensive Midfield,DM,,Ajax,Netherlands,0.0,out,summer,Jupiler Pro League,2003,True,end of loan
Germinal Beerschot Antwerpen,Kwame Quansah,20,Ghana,Defensive Midfield,DM,,Ajax,Netherlands,0.0,out,summer,Jupiler Pro League,2003,True,end of loan
Germinal Beerschot Antwerpen,Walker,21,Brazil,Defensive Midfield,DM,,Ajax U21,Netherlands,0.0,out,summer,Jupiler Pro League,2003,True,end of loan
Germinal Beerschot Antwerpen,Karel Snoeckx,30,Belgium,Right Midfield,RM,,Lierse SK,Belgium,0.0,in,winter,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Milson,26,Brazil,Centre-Forward,CF,,CD Wuniu,China,0.0,in,winter,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Victor Simões,22,Brazil,Centre-Forward,CF,,Club Brugge,Belgium,800000.0,out,winter,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Koen Schockaert,25,Belgium,Centre-Forward,CF,,FC Denderleeuw,Belgium,0.0,out,winter,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Bruno Casimir,22,Indonesia,Defensive Midfield,DM,,Canon Yaoundé,Cameroon,0.0,out,winter,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Tim Reigel,23,Belgium,midfield,midfield,,FC Brüssel,Belgium,0.0,out,winter,Jupiler Pro League,2003,True,free loan
Germinal Beerschot Antwerpen,Vinko Marinovic,32,Bosnia-Herzegovina,defence,defence,,FK Laktasi,Bosnia-Herzegovina,,out,winter,Jupiler Pro League,2003,False,
Germinal Beerschot Antwerpen,Felipe Conceição,24,Brazil,Centre-Forward,CF,,Botafogo,Brazil,,out,winter,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Dominik Bersnjak,21,Slovenia,Central Midfield,CM,,KRC Genk,Belgium,150000.0,in,summer,Jupiler Pro League,2003,True,loan with fee
Heusden-Zolder SK,Gert Doumen,32,Belgium,Goalkeeper,GK,,K Patro Maasmech,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Dennis Souza,23,Brazil,Centre-Back,CB,,RAEC Mons,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Takayuki Suzuki,27,Japan,Centre-Forward,CF,,KRC Genk,Belgium,0.0,in,summer,Jupiler Pro League,2003,True,free loan
Heusden-Zolder SK,Stijn Haeldermans,28,Belgium,Left Winger,LW,,Lierse SK,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Igor de Camargo,20,Belgium,Centre-Forward,CF,,KRC Genk,Belgium,0.0,in,summer,Jupiler Pro League,2003,True,free loan
Heusden-Zolder SK,Mike Mampuya,20,DR Congo,Right-Back,RB,,KRC Genk,Belgium,0.0,in,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Ousmane N'Gom Camara,28,Guinea,Right Midfield,RM,,Unknown,,0.0,in,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Logan Bailly,17,Belgium,Goalkeeper,GK,,KRC Genk,Belgium,0.0,in,summer,Jupiler Pro League,2003,True,free loan
Heusden-Zolder SK,Vincent Euvrard,21,Belgium,Centre-Back,CB,,KRC Genk,Belgium,0.0,in,summer,Jupiler Pro League,2003,True,free loan
Heusden-Zolder SK,Stefan Teelen,24,Belgium,Left-Back,LB,,KRC Genk,Belgium,0.0,in,summer,Jupiler Pro League,2003,True,free loan
Heusden-Zolder SK,Anders Nielsen,32,Denmark,Centre-Forward,CF,,Royal Antwerp,Belgium,,in,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Sotiris Kostoulas,28,Greece,Centre-Back,CB,,Dessel Sport,Belgium,0.0,out,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Ilir Caushllari,28,Albania,Right Midfield,RM,,Dessel Sport,Belgium,,out,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Robin Stroobants,23,Belgium,attack,attack,,Overpelt-Lommel,Belgium,,out,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Geert Coninx,24,Belgium,Left-Back,LB,,Bocholt VV,Belgium,,out,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Georgios Basiakos,28,Belgium,attack,attack,,K Patro Maasmech,Belgium,,out,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Davide D'Angelo,21,Belgium,Attacking Midfield,AM,,KSK Tongeren,Belgium,,out,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Marc Janssen,29,Belgium,midfield,midfield,,Retired,,,out,summer,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Hans Leenders,23,Belgium,defence,defence,,KRC Genk,Belgium,0.0,in,winter,Jupiler Pro League,2003,True,free loan
Heusden-Zolder SK,Souleymane Oulare,31,Guinea,Centre-Forward,CF,,Stoke City,England,0.0,in,winter,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Franck Atsou,25,Togo,Centre-Back,CB,,Hilal,Saudi Arabia,0.0,in,winter,Jupiler Pro League,2003,True,free loan
Heusden-Zolder SK,Kurt Morhaye,26,Belgium,attack,attack,,KVK Tienen,Belgium,0.0,out,winter,Jupiler Pro League,2003,False,
Heusden-Zolder SK,Ümit Bilican,22,Belgium,Centre-Forward,CF,,Adanaspor,Turkey,,out,winter,Jupiler Pro League,2003,False,
