club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Athletic Bilbao,Unai Expósito,25,Spain,Right-Back,RB,300000.0,CA Osasuna,Spain,0.0,in,summer,Laliga,2005,False,
Athletic Bilbao,Asier del Horno,24,Spain,Left-Back,LB,12000000.0,Chelsea,England,12000000.0,out,summer,Laliga,2005,False,
Athletic Bilbao,Aitor Karanka,32,Spain,Centre-Back,CB,2000000.0,Colorado,United States,0.0,out,summer,Laliga,2005,False,
Athletic Bilbao,Santiago Ezquerro,28,Spain,Centre-Forward,CF,2000000.0,FC Barcelona,Spain,0.0,out,summer,Laliga,2005,False,
Athletic Bilbao,Jonan García,22,Spain,Attacking Midfield,AM,700000.0,CD Castellón,Spain,0.0,out,summer,Laliga,2005,False,
Athletic Bilbao,Gorka Azkorra,22,Spain,Right Winger,RW,400000.0,CD Numancia,Spain,0.0,out,summer,Laliga,2005,True,free loan
Athletic Bilbao,Aritz Solabarrieta,21,Spain,Right Midfield,RM,500000.0,SD Eibar,Spain,0.0,out,summer,Laliga,2005,True,free loan
Athletic Bilbao,César Caneda,27,Spain,Centre-Back,CB,,SD Eibar,Spain,,out,summer,Laliga,2005,False,
Athletic Bilbao,Roberto Pampín,21,Spain,Goalkeeper,GK,,Real Unión,Spain,0.0,out,summer,Laliga,2005,True,free loan
Athletic Bilbao,Joseba Arriaga,22,Spain,Centre-Forward,CF,500000.0,SD Eibar,Spain,0.0,out,summer,Laliga,2005,True,free loan
Athletic Bilbao,Oskar Vales,30,Spain,Right-Back,RB,300000.0,Retired,,,out,summer,Laliga,2005,False,
Athletic Bilbao,Aritz Aduriz,24,Spain,Centre-Forward,CF,,Real Valladolid,Spain,3000000.0,in,winter,Laliga,2005,False,
Athletic Bilbao,Javi González,31,Spain,Right Midfield,RM,900000.0,FC Ashdod,Israel,0.0,out,winter,Laliga,2005,True,free loan
Athletic Bilbao,Francisco Tarantino,21,Spain,Centre-Back,CB,,CD Numancia,Spain,0.0,out,winter,Laliga,2005,True,free loan
Atlético Madrid,Martin Petrov,26,Bulgaria,Left Winger,LW,7000000.0,VfL Wolfsburg,Germany,10000000.0,in,summer,Laliga,2005,False,
Atlético Madrid,Mateja Kezman,26,Serbia,Centre-Forward,CF,13500000.0,Chelsea,England,9000000.0,in,summer,Laliga,2005,False,
Atlético Madrid,Maxi Rodríguez,24,Argentina,Left Winger,LW,7000000.0,Espanyol,Spain,5000000.0,in,summer,Laliga,2005,False,
Atlético Madrid,Luciano Galletti,25,Argentina,Right Winger,RW,2000000.0,Real Zaragoza,Spain,2500000.0,in,summer,Laliga,2005,False,
Atlético Madrid,Juan Valera,20,Spain,Right-Back,RB,50000.0,Real Murcia,Spain,0.0,in,summer,Laliga,2005,False,
Atlético Madrid,Jesper Grönkjaer,27,Denmark,Left Winger,LW,6500000.0,VfB Stuttgart,Germany,3000000.0,out,summer,Laliga,2005,False,
Atlético Madrid,Javier Pinola,22,Argentina,Centre-Back,CB,500000.0,1.FC Nuremberg,Germany,300000.0,out,summer,Laliga,2005,True,loan with fee
Atlético Madrid,Richard Núñez,29,Uruguay,Attacking Midfield,AM,3750000.0,CD Cruz Azul,Mexico,0.0,out,summer,Laliga,2005,False,
Atlético Madrid,Santi Denia,31,Spain,Centre-Back,CB,1250000.0,Albacete,Spain,0.0,out,summer,Laliga,2005,False,
Atlético Madrid,Jorge Larena,23,Spain,Central Midfield,CM,3000000.0,Celta de Vigo,Spain,0.0,out,summer,Laliga,2005,True,free loan
Atlético Madrid,Veljko Paunovic,27,Serbia,Centre-Forward,CF,2000000.0,Getafe,Spain,0.0,out,summer,Laliga,2005,False,
Atlético Madrid,Toché,22,Spain,Centre-Forward,CF,600000.0,Hércules CF,Spain,0.0,out,summer,Laliga,2005,True,free loan
Atlético Madrid,Cosmin Contra,29,Romania,Right-Back,RB,,Getafe,Spain,0.0,out,summer,Laliga,2005,False,
Atlético Madrid,Iván Romero,25,Spain,Left-Back,LB,,Real Jaén CF,Spain,,out,summer,Laliga,2005,False,
Atlético Madrid,Rubén Martín,25,Spain,Goalkeeper,GK,,Albacete,Spain,,out,summer,Laliga,2005,False,
Atlético Madrid,Raúl Medina,22,Spain,Central Midfield,CM,,Ciudad Murcia,Spain,0.0,out,summer,Laliga,2005,True,free loan
Atlético Madrid,Javi Moreno,30,Spain,Centre-Forward,CF,4250000.0,Córdoba CF,Spain,,out,summer,Laliga,2005,False,
Atlético Madrid,Álvaro Novo,27,Spain,Right Midfield,RM,2500000.0,Real Sociedad,Spain,,out,summer,Laliga,2005,False,
Atlético Madrid,Marcelo Sosa,27,Uruguay,Defensive Midfield,DM,2000000.0,CA Osasuna,Spain,0.0,out,summer,Laliga,2005,True,free loan
Atlético Madrid,Nano,23,Spain,Centre-Back,CB,2500000.0,Getafe,Spain,,out,summer,Laliga,2005,False,
Atlético Madrid,Juan Carlos Aguilera,36,Spain,Right-Back,RB,1500000.0,Retired,,,out,summer,Laliga,2005,False,
Atlético Madrid,Sergi Barjuán,33,Spain,Left-Back,LB,2500000.0,Retired,,,out,summer,Laliga,2005,False,
Atlético Madrid,Salva Ballesta,30,Spain,Centre-Forward,CF,6000000.0,Valencia,Spain,0.0,out,summer,Laliga,2005,True,end of loan
Atlético Madrid,Javier Arizmendi,21,Spain,Centre-Forward,CF,1500000.0,Dep. La Coruña,Spain,2000000.0,out,winter,Laliga,2005,False,
Atlético Madrid,Braulio Nóbrega,20,Spain,Centre-Forward,CF,200000.0,RCD Mallorca,Spain,0.0,out,winter,Laliga,2005,True,free loan
CA Osasuna,Bernardo Romeo,27,Argentina,Centre-Forward,CF,3500000.0,Hamburger SV,Germany,1000000.0,in,summer,Laliga,2005,False,
CA Osasuna,Ricardo,33,Spain,Goalkeeper,GK,1000000.0,Man Utd,England,0.0,in,summer,Laliga,2005,False,
CA Osasuna,Gorka Brit,27,Spain,Centre-Forward,CF,,UD Salamanca,Spain,0.0,in,summer,Laliga,2005,False,
CA Osasuna,Marcelo Sosa,27,Uruguay,Defensive Midfield,DM,2000000.0,Atlético Madrid,Spain,0.0,in,summer,Laliga,2005,True,free loan
CA Osasuna,Pablo García,28,Uruguay,Defensive Midfield,DM,4250000.0,Real Madrid,Spain,4000000.0,out,summer,Laliga,2005,False,
CA Osasuna,Richard Morales,30,Uruguay,Centre-Forward,CF,750000.0,Málaga CF,Spain,1400000.0,out,summer,Laliga,2005,False,
CA Osasuna,John Aloisi,29,Australia,Centre-Forward,CF,2250000.0,Alavés,Spain,0.0,out,summer,Laliga,2005,False,
CA Osasuna,Unai Expósito,25,Spain,Right-Back,RB,300000.0,Athletic,Spain,0.0,out,summer,Laliga,2005,False,
CA Osasuna,Iván Rosado,31,Spain,Centre-Forward,CF,1500000.0,Xerez CD,Spain,0.0,out,summer,Laliga,2005,False,
CA Osasuna,Ricardo Sanzol,29,Spain,Goalkeeper,GK,500000.0,Albacete,Spain,0.0,out,summer,Laliga,2005,False,
CA Osasuna,Francisco Jusué,25,Spain,Centre-Back,CB,300000.0,UD Sanse,Spain,,out,summer,Laliga,2005,False,
Celta de Vigo,Roberto Sousa,20,Brazil,Defensive Midfield,DM,,Guarani,Brazil,1000000.0,in,summer,Laliga,2005,False,
Celta de Vigo,Diego Placente,28,Argentina,Left-Back,LB,4500000.0,Bay. Leverkusen,Germany,0.0,in,summer,Laliga,2005,False,
Celta de Vigo,Jorge Larena,23,Spain,Central Midfield,CM,3000000.0,Atlético Madrid,Spain,0.0,in,summer,Laliga,2005,True,free loan
Celta de Vigo,Javi Guerrero,28,Spain,Centre-Forward,CF,3500000.0,Racing,Spain,0.0,in,summer,Laliga,2005,False,
Celta de Vigo,Jesús Perera,25,Spain,Centre-Forward,CF,350000.0,RCD Mallorca,Spain,0.0,in,summer,Laliga,2005,False,
Celta de Vigo,Fernando Correa,31,Uruguay,Centre-Forward,CF,750000.0,RCD Mallorca,Spain,0.0,in,summer,Laliga,2005,False,
Celta de Vigo,Antonio Núñez,26,Spain,Right Winger,RW,1300000.0,Liverpool,England,0.0,in,summer,Laliga,2005,False,
Celta de Vigo,David Silva,19,Spain,Attacking Midfield,AM,,Valencia,Spain,0.0,in,summer,Laliga,2005,True,free loan
Celta de Vigo,José Enrique,19,Spain,Left-Back,LB,,Valencia,Spain,0.0,in,summer,Laliga,2005,True,free loan
Celta de Vigo,Fernando Baiano,26,Brazil,Centre-Forward,CF,3000000.0,Málaga CF,Spain,,in,summer,Laliga,2005,False,
Celta de Vigo,Esteban,30,Spain,Goalkeeper,GK,3000000.0,Sevilla FC,Spain,,in,summer,Laliga,2005,False,
Celta de Vigo,Matías Lequi,24,Argentina,Centre-Back,CB,2250000.0,Lazio,Italy,0.0,in,summer,Laliga,2005,True,free loan
Celta de Vigo,Fabián Canobbio,25,Uruguay,Attacking Midfield,AM,50000.0,Valencia,Spain,,in,summer,Laliga,2005,False,
Celta de Vigo,Iriney,24,Brazil,Central Midfield,CM,,Rayo Vallecano,Spain,,in,summer,Laliga,2005,False,
Celta de Vigo,Daniël de Ridder,21,Netherlands,Left Winger,LW,1250000.0,Ajax,Netherlands,0.0,in,summer,Laliga,2005,True,free loan
Celta de Vigo,Eduardo Berizzo,35,Argentina,Centre-Back,CB,50000.0,Cádiz CF,Spain,0.0,out,summer,Laliga,2005,False,
Celta de Vigo,Orlando Quintana,27,Spain,Goalkeeper,GK,,Lorca Dep.,Spain,0.0,out,summer,Laliga,2005,False,
Celta de Vigo,Iago Bouzón,22,Spain,Centre-Back,CB,750000.0,Recr. Huelva,Spain,0.0,out,summer,Laliga,2005,True,free loan
Celta de Vigo,Israel Delgado,26,Spain,Left-Back,LB,,Córdoba CF,Spain,0.0,out,summer,Laliga,2005,False,
Celta de Vigo,Txomin Nagore,30,Spain,Central Midfield,CM,1500000.0,Levante,Spain,0.0,out,summer,Laliga,2005,False,
Celta de Vigo,Nuno Capucho,33,Portugal,Right Winger,RW,1250000.0,Unknown,,0.0,out,summer,Laliga,2005,False,
Celta de Vigo,Toni Moral,23,Spain,Left Winger,LW,,CD Tenerife,Spain,0.0,out,summer,Laliga,2005,False,
Celta de Vigo,Roger Guerreiro,23,Poland,Attacking Midfield,AM,,Juventude,Brazil,0.0,out,summer,Laliga,2005,False,
Celta de Vigo,Jandro,26,Spain,Attacking Midfield,AM,1000000.0,Alavés,Spain,,out,summer,Laliga,2005,False,
Celta de Vigo,Facundo Sava,31,Argentina,Centre-Forward,CF,2250000.0,Fulham,England,0.0,out,summer,Laliga,2005,True,end of loan
Celta de Vigo,Zisis Vryzas,31,Greece,Centre-Forward,CF,2000000.0,Fiorentina,Italy,0.0,out,summer,Laliga,2005,True,end of loan
Celta de Vigo,Fabián Canobbio,25,Uruguay,Attacking Midfield,AM,50000.0,Valencia,Spain,0.0,out,summer,Laliga,2005,True,end of loan
Celta de Vigo,Carlos Vela,16,Mexico,Right Winger,RW,1000000.0,Arsenal,England,0.0,in,winter,Laliga,2005,True,free loan
Celta de Vigo,José Ignacio,32,Spain,Defensive Midfield,DM,1000000.0,Logroñés CF,Spain,0.0,out,winter,Laliga,2005,False,
Cádiz CF,Alejandro Limia,29,Argentina,Goalkeeper,GK,,Arsenal FC,Argentina,500000.0,in,summer,Laliga,2005,False,
Cádiz CF,Fabián Estoyanoff,22,Uruguay,Right Midfield,RM,,Valencia,Spain,300000.0,in,summer,Laliga,2005,True,loan with fee
Cádiz CF,Marc Bertrán,23,Spain,Right-Back,RB,400000.0,Espanyol,Spain,0.0,in,summer,Laliga,2005,False,
Cádiz CF,Eduardo Berizzo,35,Argentina,Centre-Back,CB,50000.0,Celta de Vigo,Spain,0.0,in,summer,Laliga,2005,False,
Cádiz CF,Iván Ania,27,Spain,Left Midfield,LM,,Gimnàstic,Spain,0.0,in,summer,Laliga,2005,False,
Cádiz CF,Fernando Morán,29,Spain,Right Midfield,RM,500000.0,Racing,Spain,0.0,in,summer,Laliga,2005,False,
Cádiz CF,Mário Silva,28,Portugal,Left-Back,LB,600000.0,FC Porto,Portugal,0.0,in,summer,Laliga,2005,False,
Cádiz CF,Benjamín,29,Equatorial Guinea,Left Midfield,LM,1250000.0,Real Betis,Spain,0.0,in,summer,Laliga,2005,True,free loan
Cádiz CF,Alexander Medina,27,Uruguay,Centre-Forward,CF,,Nacional,Uruguay,,in,summer,Laliga,2005,False,
Cádiz CF,Manuel de Gomar,20,Spain,Second Striker,SS,,Rayo Vallecano,Spain,0.0,out,summer,Laliga,2005,False,
Cádiz CF,Fredi,31,Spain,Left Midfield,LM,500000.0,CD Castellón,Spain,0.0,out,summer,Laliga,2005,False,
Cádiz CF,Jesús Velázquez,26,Spain,Right-Back,RB,,Lorca Dep.,Spain,0.0,out,summer,Laliga,2005,False,
Cádiz CF,Atiba Harris,20,St. Kitts & Nevis,Centre-Back,CB,,Salt Lake,United States,0.0,out,summer,Laliga,2005,False,
Cádiz CF,Alberto Merino,30,Spain,Centre-Back,CB,,FC Cartagena,Spain,0.0,out,summer,Laliga,2005,False,
Cádiz CF,Cherno Samba,20,The Gambia,Centre-Forward,CF,50000.0,Málaga B,Spain,0.0,out,summer,Laliga,2005,True,free loan
Cádiz CF,Dani Navarrete,28,Spain,Right Winger,RW,,Hércules CF,Spain,,out,summer,Laliga,2005,False,
Cádiz CF,Lucas Lobos,24,Mexico,Second Striker,SS,,Gimnasia,Argentina,1600000.0,in,winter,Laliga,2005,False,
Cádiz CF,Luciano Vella,24,Argentina,Right-Back,RB,,Newell's,Argentina,400000.0,in,winter,Laliga,2005,False,
Deportivo Alavés,Wesley,24,Brazil,Second Striker,SS,2000000.0,Penafiel,Portugal,1400000.0,in,summer,Laliga,2005,False,
Deportivo Alavés,Mauricio Pellegrino,33,Argentina,Centre-Back,CB,2000000.0,Liverpool,England,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,Juanito,25,Spain,Defensive Midfield,DM,300000.0,Málaga CF,Spain,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,Henri Antchouet,25,Gabon,Centre-Forward,CF,4000000.0,Belenenses SAD,Portugal,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,John Aloisi,29,Australia,Centre-Forward,CF,2250000.0,CA Osasuna,Spain,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,Poli,28,Spain,Left-Back,LB,500000.0,RCD Mallorca,Spain,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,Mehdi Lacen,21,Algeria,Defensive Midfield,DM,,AS Valence,France,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,Arthuro,22,Brazil,Centre-Forward,CF,,Sporting Gijón,Spain,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,Franco Costanzo,24,Argentina,Goalkeeper,GK,,River Plate,Argentina,0.0,in,summer,Laliga,2005,False,
Deportivo Alavés,José María Mena,26,Spain,Centre-Forward,CF,,Xerez CD,Spain,,in,summer,Laliga,2005,False,
Deportivo Alavés,Jandro,26,Spain,Attacking Midfield,AM,1000000.0,Celta de Vigo,Spain,,in,summer,Laliga,2005,False,
Deportivo Alavés,Remond Mendy,19,Senegal,Centre-Forward,CF,,Jeanne d'Arc,Senegal,,in,summer,Laliga,2005,False,
Deportivo Alavés,Bernardo Domínguez,25,Spain,Goalkeeper,GK,,SD Huesca,Spain,,in,summer,Laliga,2005,False,
Deportivo Alavés,Sietes,31,Spain,Left-Back,LB,50000.0,Watford,England,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Bernardo Domínguez,26,Spain,Goalkeeper,GK,,CD Tenerife,Spain,0.0,out,summer,Laliga,2005,True,free loan
Deportivo Alavés,Andrea Orlandi,20,Spain,Central Midfield,CM,,FC Barcelona B,Spain,0.0,out,summer,Laliga,2005,True,free loan
Deportivo Alavés,Alejandro Lombardero,26,Spain,midfield,midfield,,Gramenet,Spain,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Juan Epitié,28,Equatorial Guinea,Centre-Forward,CF,,CD Castellón,Spain,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Maximiliano Flotta,26,Argentina,Centre-Back,CB,,Atlético Huila,Colombia,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Nacho Fernández,25,Spain,Central Midfield,CM,,Racing Ferrol,Spain,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Kiko,27,Spain,Centre-Forward,CF,,Poli Ejido,Spain,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Younes Bengelloun,22,France,Centre-Back,CB,,US Raon-l'Étape,France,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Edu Aguilar,24,Spain,midfield,midfield,,Reus Deportiu,Spain,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Juan Pablo,26,Spain,Goalkeeper,GK,,CD Numancia,Spain,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Sergio Santamaría,24,Spain,Right Winger,RW,1500000.0,Albacete,Spain,0.0,out,summer,Laliga,2005,False,
Deportivo Alavés,Juvenal Edjogo,26,Equatorial Guinea,Central Midfield,CM,,Recr. Huelva,Spain,,out,summer,Laliga,2005,False,
Deportivo Alavés,Abel Valenzuela,23,Spain,Centre-Back,CB,,UD Salamanca,Spain,,out,summer,Laliga,2005,False,
Deportivo Alavés,Eneko Romo,26,Spain,Attacking Midfield,AM,,Rayo Vallecano,Spain,,out,summer,Laliga,2005,False,
Deportivo Alavés,Sergio Santamaría,24,Spain,Right Winger,RW,,Albacete,Spain,,out,summer,Laliga,2005,False,
Deportivo Alavés,Abelardo,35,Spain,Centre-Back,CB,750000.0,Retired,,,out,summer,Laliga,2005,False,
Deportivo Alavés,Aleksandr Mostovoy,36,Russia,Attacking Midfield,AM,350000.0,Retired,,,out,summer,Laliga,2005,False,
Deportivo Alavés,David Sánchez,22,Spain,Central Midfield,CM,,FC Barcelona B,Spain,0.0,out,summer,Laliga,2005,True,end of loan
Deportivo Alavés,Élton,22,Brazil,Defensive Midfield,DM,50000.0,Santos FC,Brazil,0.0,in,winter,Laliga,2005,False,
