club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AJ Auxerre,Benoît Pedretti,25,France,Defensive Midfield,DM,6000000.0,Olympique Lyon,France,5000000.0,in,summer,Ligue 1,2006,False,
AJ Auxerre,Frédéric Thomas,25,France,Central Midfield,CM,4000000.0,Le Mans UC 72,France,4000000.0,in,summer,Ligue 1,2006,False,
AJ Auxerre,Daniel Niculae,23,Romania,Centre-Forward,CF,3300000.0,Rapid Bucharest,Romania,3300000.0,in,summer,Ligue 1,2006,False,
AJ Auxerre,Ireneusz Jelen,25,Poland,Centre-Forward,CF,2300000.0,Wisla Plock,Poland,900000.0,in,summer,Ligue 1,2006,False,
AJ Auxerre,Issa Ba,24,Senegal,Central Midfield,CM,1200000.0,LB Châteauroux,France,0.0,in,summer,Ligue 1,2006,False,
AJ Auxerre,Anthony Basso,26,France,Goalkeeper,GK,,Viking FK,Norway,0.0,in,summer,Ligue 1,2006,False,
AJ Auxerre,Moussa N'Diaye,27,Senegal,Right Winger,RW,1500000.0,FC Istres,France,,in,summer,Ligue 1,2006,False,
AJ Auxerre,Romain Poyet,25,France,Centre-Forward,CF,500000.0,Dijon,France,0.0,out,summer,Ligue 1,2006,False,
AJ Auxerre,Mamoutou Coulibaly,22,Mali,Centre-Back,CB,250000.0,FC Istres,France,0.0,out,summer,Ligue 1,2006,False,
AJ Auxerre,Pierre Vignaud,23,France,Left-Back,LB,300000.0,FC Rouen 1899,France,0.0,out,summer,Ligue 1,2006,False,
AJ Auxerre,Sébastien Hamel,30,France,Goalkeeper,GK,500000.0,Marseille,France,0.0,out,summer,Ligue 1,2006,False,
AJ Auxerre,Yann Lachuer,33,France,Attacking Midfield,AM,2000000.0,Troyes,France,0.0,out,summer,Ligue 1,2006,False,
AJ Auxerre,Richard Suriano,24,France,Right-Back,RB,250000.0,FC Istres,France,0.0,out,summer,Ligue 1,2006,False,
AJ Auxerre,Baptiste Chabert,23,France,Goalkeeper,GK,350000.0,FC Béziers M.,France,0.0,out,summer,Ligue 1,2006,False,
AJ Auxerre,Michaël Ciani,22,France,Centre-Back,CB,500000.0,FC Lorient,France,0.0,out,summer,Ligue 1,2006,True,free loan
AJ Auxerre,Benoît Tardieu,20,Benin,Goalkeeper,GK,100000.0,Clermont Foot,France,0.0,out,summer,Ligue 1,2006,True,free loan
AJ Auxerre,Philippe Violeau,35,France,Defensive Midfield,DM,400000.0,Retired,,,out,summer,Ligue 1,2006,False,
AJ Auxerre,Péguy Luyindula,27,France,Centre-Forward,CF,8000000.0,Marseille,France,0.0,out,summer,Ligue 1,2006,True,end of loan
AJ Auxerre,Mathieu Berson,26,France,Defensive Midfield,DM,3500000.0,Aston Villa,England,0.0,out,summer,Ligue 1,2006,True,end of loan
