club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Académica Coimbra,John Ogu,24,Nigeria,Central Midfield,CM,600000.0,Leiria,Portugal,0.0,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Rafik Halliche,25,Algeria,Centre-Back,CB,750000.0,Fulham,England,0.0,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Wilson Eduardo,22,Angola,Left Winger,LW,3200000.0,Sporting CP,Portugal,0.0,in,summer,Primeira Liga,2012,True,free loan
Académica Coimbra,Rodrigo Galo,25,Brazil,Right-Back,RB,800000.0,Braga,Portugal,0.0,in,summer,Primeira Liga,2012,True,free loan
Académica Coimbra,Alphousseyni Keita,26,Mali,Defensive Midfield,DM,400000.0,Leiria,Portugal,0.0,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Carlos Saleiro,26,Portugal,Centre-Forward,CF,700000.0,Servette FC,Switzerland,0.0,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Makelele,27,Brazil,Defensive Midfield,DM,,ABC FC,Brazil,0.0,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Júnior Lopes,24,Brazil,Centre-Back,CB,,Bragantino,Brazil,0.0,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Marcos Paulo,23,Brazil,Central Midfield,CM,1000000.0,Leiria,Portugal,0.0,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Nuno Henrique,25,Portugal,Centre-Back,CB,500000.0,Braga,Portugal,,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Afonso,20,Brazil,Centre-Forward,CF,75000.0,Corinthians,Brazil,0.0,in,summer,Primeira Liga,2012,True,free loan
Académica Coimbra,Cleyton,22,Brazil,Attacking Midfield,AM,,Santa Rita,Brazil,0.0,in,summer,Primeira Liga,2012,True,free loan
Académica Coimbra,Salim Cissé,19,Guinea,Centre-Forward,CF,,Arezzo,Italy,,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Bruno China,29,Portugal,Central Midfield,CM,700000.0,Rio Ave FC,Portugal,,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Saná Camará,20,Guinea-Bissau,Central Midfield,CM,200000.0,Real Valladolid,Spain,,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Serge N'Gal,26,Cameroon,Right Winger,RW,500000.0,USM Alger,Algeria,,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Reiner Ferreira,26,Brazil,Centre-Back,CB,300000.0,Corinthians,Brazil,,in,summer,Primeira Liga,2012,False,
Académica Coimbra,Diogo Valente,27,Portugal,Left Winger,LW,1200000.0,CFR Cluj,Romania,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Diogo Melo,28,Brazil,Defensive Midfield,DM,800000.0,Sanat Naft,Iran,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Pape Sow,26,Senegal,Centre-Back,CB,1000000.0,Panathinaikos,Greece,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Diogo Ribeiro,21,Portugal,Centre-Forward,CF,,Braga B,Portugal,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Éder,24,Portugal,Centre-Forward,CF,3000000.0,Braga,Portugal,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Hugo Morais,34,Portugal,Central Midfield,CM,600000.0,União Madeira,Portugal,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Júnior Lopes,25,Brazil,Centre-Back,CB,100000.0,Nova Iguaçu,Brazil,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Paulo Grilo,20,Portugal,Defensive Midfield,DM,400000.0,Covilhã,Portugal,0.0,out,summer,Primeira Liga,2012,True,free loan
Académica Coimbra,Ghislain Mvom,19,Cameroon,Centre-Back,CB,200000.0,Benfica B,Portugal,0.0,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Bassalia Ouattara,20,Cote d'Ivoire,Left Winger,LW,,União Madeira,Portugal,0.0,out,summer,Primeira Liga,2012,True,free loan
Académica Coimbra,Issouf,19,Cote d'Ivoire,Centre-Back,CB,,FC Pampilhosa,Portugal,0.0,out,summer,Primeira Liga,2012,True,free loan
Académica Coimbra,Nuno Henrique,25,Portugal,Centre-Back,CB,500000.0,Blackburn,England,,out,summer,Primeira Liga,2012,False,
Académica Coimbra,Christo Amessan,21,Cote d'Ivoire,Left Winger,LW,300000.0,Arouca,Portugal,0.0,out,summer,Primeira Liga,2012,True,free loan
