club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Aberdeen FC,Nicky Weaver,34,England,Goalkeeper,GK,250000.0,Sheff Wed,England,0.0,in,summer,Scottish Premiership,2013,False,
Aberdeen FC,Willo Flood,28,Ireland,Central Midfield,CM,450000.0,Dundee United,Scotland,0.0,in,summer,Scottish Premiership,2013,False,
Aberdeen FC,Barry Robson,34,Scotland,Right Midfield,RM,500000.0,Sheff Utd,England,0.0,in,summer,Scottish Premiership,2013,False,
Aberdeen FC,Calvin Zola,28,DR Congo,Centre-Forward,CF,375000.0,Burton Albion,England,0.0,in,summer,Scottish Premiership,2013,False,
Aberdeen FC,Gregg Wylde,22,Scotland,Left Midfield,LM,1000000.0,Bolton,England,0.0,in,summer,Scottish Premiership,2013,False,
Aberdeen FC,Lawrence Shankland,17,Scotland,Centre-Forward,CF,,Queen's Park,Scotland,0.0,in,summer,Scottish Premiership,2013,False,
Aberdeen FC,Michael Hector,21,Jamaica,Centre-Back,CB,,Reading,England,0.0,in,summer,Scottish Premiership,2013,True,free loan
Aberdeen FC,Rob Milsom,26,England,Central Midfield,CM,350000.0,Rotherham,England,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Isaac Osbourne,27,England,Defensive Midfield,DM,500000.0,Partick Thistle,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Rory Fallon,31,New Zealand,Centre-Forward,CF,325000.0,St. Johnstone,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Mitch Megginson,20,Scotland,Centre-Forward,CF,,Dumbarton,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Gavin Rae,35,Scotland,Central Midfield,CM,400000.0,Dundee FC,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Jordon Brown,20,Scotland,Central Midfield,CM,,Peterhead,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Gary Naysmith,34,Scotland,Left-Back,LB,450000.0,East Fife,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Dan Twardzik,22,Czech Republic,Goalkeeper,GK,75000.0,Dundee FC,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Declan McManus,18,Scotland,Centre-Forward,CF,,Alloa Athletic,Scotland,0.0,out,summer,Scottish Premiership,2013,True,free loan
Aberdeen FC,Stephen Hughes,30,Scotland,Central Midfield,CM,350000.0,Without Club,,,out,summer,Scottish Premiership,2013,False,
Aberdeen FC,Alan Tate,31,England,Centre-Back,CB,1000000.0,Swansea,England,0.0,in,winter,Scottish Premiership,2013,True,free loan
Aberdeen FC,Adam Rooney,25,Ireland,Centre-Forward,CF,500000.0,Oldham Athletic,England,0.0,in,winter,Scottish Premiership,2013,False,
Aberdeen FC,Shay Logan,26,England,Right-Back,RB,250000.0,Brentford,England,0.0,in,winter,Scottish Premiership,2013,True,free loan
Aberdeen FC,Gregg Wylde,22,Scotland,Left Midfield,LM,750000.0,St. Mirren,Scotland,0.0,out,winter,Scottish Premiership,2013,False,
Aberdeen FC,Chris Clark,33,Scotland,Left Midfield,LM,275000.0,Cove Rangers,Scotland,0.0,out,winter,Scottish Premiership,2013,False,
Aberdeen FC,Jamie Masson,20,Scotland,Left Midfield,LM,50000.0,Elgin City,Scotland,0.0,out,winter,Scottish Premiership,2013,True,free loan
Aberdeen FC,Lawrence Shankland,18,Scotland,Centre-Forward,CF,50000.0,Dunfermline A.,Scotland,0.0,out,winter,Scottish Premiership,2013,True,free loan
Aberdeen FC,Josh Magennis,23,Northern Ireland,Centre-Forward,CF,350000.0,St. Mirren,Scotland,0.0,out,winter,Scottish Premiership,2013,True,free loan
Aberdeen FC,Craig Storie,17,Scotland,Central Midfield,CM,50000.0,Forfar Athletic,Scotland,0.0,out,winter,Scottish Premiership,2013,True,free loan
Celtic FC,Virgil van Dijk,21,Netherlands,Centre-Back,CB,3000000.0,FC Groningen,Netherlands,2750000.0,in,summer,Scottish Premiership,2013,False,
Celtic FC,Derk Boerrigter,26,Netherlands,Left Winger,LW,3250000.0,Ajax,Netherlands,2500000.0,in,summer,Scottish Premiership,2013,False,
Celtic FC,Teemu Pukki,23,Finland,Centre-Forward,CF,2500000.0,FC Schalke 04,Germany,2500000.0,in,summer,Scottish Premiership,2013,False,
Celtic FC,Amido Baldé,22,Guinea-Bissau,Centre-Forward,CF,1500000.0,Vit. Guimarães,Portugal,1750000.0,in,summer,Scottish Premiership,2013,False,
Celtic FC,Nir Bitton,21,Israel,Defensive Midfield,DM,450000.0,FC Ashdod,Israel,820000.0,in,summer,Scottish Premiership,2013,False,
Celtic FC,Steven Mouyokolo,26,France,Centre-Back,CB,800000.0,Without Club,,,in,summer,Scottish Premiership,2013,False,
Celtic FC,Victor Wanyama,22,Kenya,Defensive Midfield,DM,5000000.0,Southampton,England,14500000.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,Gary Hooper,25,England,Centre-Forward,CF,5000000.0,Norwich,England,6300000.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,Kelvin Wilson,27,England,Centre-Back,CB,2250000.0,Nottm Forest,England,2900000.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,Thomas Rogne,23,Norway,Centre-Back,CB,750000.0,Wigan,England,0.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,Robbie Thomson,20,Scotland,Goalkeeper,GK,50000.0,Rochdale,England,0.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,James Keatings,21,Scotland,Centre-Forward,CF,100000.0,Hamilton Acad.,Scotland,0.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,Daryl Murphy,30,Ireland,Centre-Forward,CF,750000.0,Ipswich,England,0.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,Paddy McCourt,29,Northern Ireland,Left Winger,LW,750000.0,Barnsley FC,England,0.0,out,summer,Scottish Premiership,2013,False,
Celtic FC,Callum McGregor,20,Scotland,Central Midfield,CM,,Notts County,England,0.0,out,summer,Scottish Premiership,2013,True,free loan
Celtic FC,Tony Watt,19,Scotland,Centre-Forward,CF,1250000.0,Lierse SK,Belgium,0.0,out,summer,Scottish Premiership,2013,True,free loan
Celtic FC,Jackson Irvine,20,Australia,Central Midfield,CM,,Kilmarnock FC,Scotland,0.0,out,summer,Scottish Premiership,2013,True,free loan
Celtic FC,Lassad Nouioui,27,Tunisia,Centre-Forward,CF,2000000.0,Without Club,,,out,summer,Scottish Premiership,2013,False,
Celtic FC,Miku Fedor,27,Venezuela,Centre-Forward,CF,4000000.0,Getafe,Spain,0.0,out,summer,Scottish Premiership,2013,True,end of loan
Celtic FC,Rami Gershon,24,Israel,Centre-Back,CB,1300000.0,Standard Liège,Belgium,0.0,out,summer,Scottish Premiership,2013,True,end of loan
Celtic FC,Stefan Johansen,23,Norway,Central Midfield,CM,2200000.0,Strømsgodset,Norway,2410000.0,in,winter,Scottish Premiership,2013,False,
Celtic FC,Leigh Griffiths,23,Scotland,Centre-Forward,CF,750000.0,Wolves,England,1250000.0,in,winter,Scottish Premiership,2013,False,
Celtic FC,Hólmbert Aron Fridjónsson,20,Iceland,Centre-Forward,CF,50000.0,Fram Reykjavík,Iceland,180000.0,in,winter,Scottish Premiership,2013,False,
Celtic FC,Joe Ledley,27,Wales,Central Midfield,CM,3500000.0,Crystal Palace,England,3500000.0,out,winter,Scottish Premiership,2013,False,
