club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
ADO Den Haag,Amar Catic,21,Bosnia-Herzegovina,Centre-Forward,CF,275000.0,PSV U21,Netherlands,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Ravel Morrison,27,Jamaica,Attacking Midfield,AM,600000.0,Sheff Utd,England,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Vicente Besuijen,19,Netherlands,Right Winger,RW,75000.0,Roma U19,Italy,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Pascu,20,Spain,Central Midfield,CM,200000.0,Valencia B,Spain,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Peet Bijen,25,Netherlands,Centre-Back,CB,475000.0,Twente FC,Netherlands,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Ricardo Kishna,25,Netherlands,Left Winger,LW,300000.0,Lazio,Italy,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Kees de Boer,20,Netherlands,Central Midfield,CM,,Swansea U23,Wales,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Luuk Koopmans,26,Netherlands,Goalkeeper,GK,475000.0,PSV Eindhoven,Netherlands,0.0,in,summer,Eredivisie,2020,False,
ADO Den Haag,Boy Kemper,21,Netherlands,Centre-Back,CB,400000.0,Ajax U21,Netherlands,,in,summer,Eredivisie,2020,False,
ADO Den Haag,Andrei Ratiu,22,Romania,Right-Back,RB,300000.0,Villarreal CF B,Spain,0.0,in,summer,Eredivisie,2020,True,free loan
ADO Den Haag,Samy Bourard,24,Belgium,Attacking Midfield,AM,400000.0,FC Eindhoven,Netherlands,,in,summer,Eredivisie,2020,False,
ADO Den Haag,Jonas Arweiler,23,Germany,Centre-Forward,CF,450000.0,FC Utrecht,Netherlands,0.0,in,summer,Eredivisie,2020,True,free loan
ADO Den Haag,Dante Rigo,21,Belgium,Defensive Midfield,DM,800000.0,PSV Eindhoven,Netherlands,0.0,in,summer,Eredivisie,2020,True,free loan
ADO Den Haag,David Philipp,20,Germany,Right Winger,RW,200000.0,W. Bremen II,Germany,0.0,in,summer,Eredivisie,2020,True,free loan
ADO Den Haag,Lassana Faye,22,Netherlands,Left-Back,LB,350000.0,Sparta R.,Netherlands,0.0,in,summer,Eredivisie,2020,True,free loan
ADO Den Haag,Ilay Elmkies,20,Israel,Central Midfield,CM,525000.0,TSG Hoffenheim,Germany,0.0,in,summer,Eredivisie,2020,True,free loan
ADO Den Haag,Dario Del Fabro,25,Italy,Centre-Back,CB,350000.0,Juventus U23,Italy,0.0,in,summer,Eredivisie,2020,True,free loan
ADO Den Haag,Nikolaos Karelis,28,Greece,Centre-Forward,CF,800000.0,Without Club,,,in,summer,Eredivisie,2020,False,
ADO Den Haag,Thom Haye,25,Netherlands,Defensive Midfield,DM,400000.0,NAC Breda,Netherlands,0.0,out,summer,Eredivisie,2020,False,
ADO Den Haag,Thijmen Goppel,23,Netherlands,Right Winger,RW,325000.0,Roda JC,Netherlands,0.0,out,summer,Eredivisie,2020,False,
ADO Den Haag,Dion Malone,31,Suriname,Defensive Midfield,DM,550000.0,NAC Breda,Netherlands,0.0,out,summer,Eredivisie,2020,False,
ADO Den Haag,Tom Beugelsdijk,30,Netherlands,Centre-Back,CB,475000.0,Sparta R.,Netherlands,0.0,out,summer,Eredivisie,2020,False,
